generation,best_candidate_id,best_ranking_key,physical_lift_count,stable_close_count,valid_candidate_count,elite_valid_count,mean,std,categorical_probabilities,stagnant_generations,covariance_collapsed
1,225,"[0.0, 0.0, 0.0, -0.0, -5.723635134934867e-05, -0.0, -3.6534025604761475]",0,0,100,32,"[0.0005031542885588537, 0.00032881772371791645, -0.00024759582482508327, -0.07979827796503532, -0.01675090712811548, -0.005742470762674823, -0.011518632602049467, -0.13418463026715038, 0.11912983301704268, 0.027201920181644215, -0.3846525751765068, 0.14546196354771118, 91.72500000000001, 0.8694054600245684, 25.950000000000003, 38.050000000000004]","[0.006476502450316821, 0.006552308414495568, 0.0035704414724750787, 0.09193621200956426, 0.13543383730485456, 0.12422845667991309, 1.20414031497379, 1.2614948051620531, 1.0942741656356918, 1.0442902156089975, 1.1287418906350686, 1.2942425582520305, 24.57151948623305, 0.2644793806197175, 8.371616749303115, 14.133026956643139]","[0.20833333333333334, 0.13333333333333333, 0.15833333333333333, 0.25833333333333336, 0.10833333333333334, 0.13333333333333333]",0,False
2,373,"[0.0, 0.0, 0.0, -0.0, -1.3871372421063286e-05, -0.0, -3.493655044715544]",0,0,181,32,"[0.0013587655084209029, -0.0008866154824167317, 0.00010791084794807462, -0.09734762653040448, -0.015578718315267356, 0.014965870594261566, 0.28164479395204794, 0.007522415175686303, 0.3204047679624555, 0.08643901686211211, -0.14572620140354392, 0.20263685864276415, 92.845, 0.9118675163264038, 25.515000000000004, 34.21]","[0.006382589503131313, 0.005364153418430957, 0.003314023665348567, 0.07773848800814596, 0.13345477326921829, 0.1224681168747743, 1.1627078160931066, 1.376691730490356, 1.0407281011871143, 1.177133838573084, 1.146695140249357, 1.3106063401098442, 21.427026265166443, 0.2342112936277939, 6.625522699513191, 14.58075359526072]","[0.2870654396728017, 0.10028629856850717, 0.10528629856850716, 0.2970654396728017, 0.060930470347648265, 0.14936605316973417]",0,False
3,641,"[0.0, 0.0, 0.0, -0.0, -3.4861329510563356e-05, -0.0, -3.440466650409861]",0,0,202,32,"[0.0009486047467217908, -0.0007168133063200847, 0.0007531895023508931, -0.10779321749533918, -0.017423699954864934, -0.0023266507092470673, 0.19939569158786086, 0.08728261122479844, 0.24144357611296086, 0.22638977060438292, -0.21170837243866814, 0.2662237539716541, 96.394, 0.8888434963640676, 25.478, 34.567]","[0.0057228384774150294, 0.005878582923763261, 0.003114586465401138, 0.058451760483645795, 0.13551923052661907, 0.10715935258972549, 1.1386282366140368, 1.2705081173351498, 1.0794473753003366, 1.0974503069661385, 1.0817872100908967, 1.196137167143549, 21.02963933524798, 0.22853190293602946, 6.040968723697587, 11.870723573186504]","[0.25741308793456036, 0.07005725971370144, 0.14605725971370143, 0.23441308793456037, 0.11218609406952966, 0.17987321063394685]",1,False
4,793,"[0.0, 0.0, 0.0, -0.0, -1.857982999765302e-05, -0.0, -3.369929428925667]",0,0,206,32,"[0.0018385151007311658, -0.0004915232848948619, 0.0007096424283128669, -0.11341220031375379, -0.0342366476969136, -0.013064773303039352, 0.12391710000969867, 0.010078962096620155, 0.24599414350914298, 0.22806900819730316, 0.09378777425564941, 0.430518392938278, 94.67880000000001, 0.9164686256940622, 25.195600000000002, 33.8134]","[0.0055672457250737495, 0.0056806035446320385, 0.0026983071118823337, 0.05530439486360362, 0.13023330052787746, 0.11064243878911348, 1.043597093713128, 1.1965702410420076, 1.0193313211832475, 1.064394268305088, 0.9679733961295867, 1.151006939565597, 21.39778640532288, 0.23107300622556373, 6.298380381789283, 12.273134562091435]","[0.276482617586912, 0.16401145194274028, 0.07921145194274028, 0.29688261758691203, 0.09743721881390592, 0.08597464212678936]",2,False
5,1268,"[0.0, 0.0, 0.0, -0.0, -5.892183687901647e-05, -0.0, -3.534975150471227]",0,0,221,32,"[0.0012156267188135248, -0.0007981179628022673, 0.0007906221128247657, -0.11514739677483775, -0.06057231707364529, -0.020217027251838462, 0.05540218381483335, -0.07136762402484281, 0.12312746849930357, 0.221281962219998, 0.1713817394208778, 0.6343165362495917, 84.86076, 0.9077210111508075, 26.46412, 32.212680000000006]","[0.005209940727878059, 0.005552372961982964, 0.002880592676156356, 0.04745669184219858, 0.09546239202439306, 0.11548762142082453, 0.9296661625371316, 0.9800925508796924, 0.8375849772968197, 0.8498280758367605, 0.8999857071263636, 1.079189169112996, 18.707113380418342, 0.23066001547219772, 5.603565462610688, 12.43147511212545]","[0.15345603271983638, 0.3027409406952965, 0.06492204498977505, 0.3538550511247444, 0.05875124744376278, 0.06627468302658487]",3,False
